Category,Flagged Type,Flagged ID,Comments,Created At
Bad GPS data,Activity,6827645382,"","Mar 15, 2022, 1:37:54 PM"
Bad GPS data,Activity,7654315294,"","Aug 17, 2022, 4:37:35 PM"
Bad GPS data,Activity,8053969924,"","Nov 1, 2022, 6:13:42 PM"
Bad GPS data,Activity,8347835200,"","Jan 6, 2023, 3:47:57 PM"
Bad GPS data,Activity,8748234923,"","Mar 20, 2023, 7:22:09 PM"
Bad GPS data,Activity,9533465138,"","Jul 27, 2023, 7:35:08 PM"
Bad GPS data,Activity,10613925336,"","Jan 23, 2024, 3:05:18 PM"
Bad GPS data,Activity,10613946510,"","Jan 23, 2024, 3:09:27 PM"
Bad GPS data,Activity,10922022312,"","Mar 9, 2024, 11:35:24 AM"
Bad GPS data,Activity,12608540622,"","Oct 8, 2024, 7:50:29 PM"
Bad GPS data,Activity,12608540622,"","Oct 8, 2024, 7:51:32 PM"
Bad GPS data,Activity,12608540622,"","Oct 8, 2024, 7:51:32 PM"
Bad GPS data,Activity,10613946510,"","Nov 26, 2024, 3:47:33 AM"
Bad GPS data,Activity,13115591643,"","Dec 14, 2024, 6:08:59 PM"
Bad GPS data,Activity,13449695380,"","Jan 25, 2025, 4:00:02 PM"
Bad GPS data,Activity,13449695380,"","Jan 25, 2025, 4:00:02 PM"
Bad GPS data,Activity,12529069085,"","Mar 17, 2025, 7:46:01 AM"
