Follower Athlete ID,Follow Status,Created At
65772803,Accepted,"Aug 25, 2020, 8:02:57 PM"
66943643,Accepted,"Sep 20, 2020, 10:15:19 PM"
50414351,Accepted,"Oct 19, 2020, 4:50:25 PM"
12198084,Accepted,"Oct 27, 2020, 11:01:28 AM"
5104543,Accepted,"Oct 27, 2020, 3:43:59 PM"
57781259,Accepted,"Oct 30, 2020, 10:16:24 AM"
59966832,Accepted,"Aug 28, 2021, 2:26:26 PM"
2455728,Accepted,"Mar 23, 2022, 5:26:03 AM"
51456498,Accepted,"May 9, 2022, 12:21:20 PM"
64663939,Accepted,"Jan 1, 2023, 6:20:21 PM"
111471043,Accepted,"Apr 6, 2023, 12:42:37 PM"
124638687,Accepted,"Sep 17, 2023, 6:25:40 PM"
35371920,Accepted,"Sep 30, 2023, 7:38:55 AM"
34531878,Accepted,"Dec 13, 2023, 1:15:10 PM"
61079425,Accepted,"Jan 4, 2024, 9:00:13 PM"
26390090,Accepted,"Jan 6, 2024, 10:49:23 AM"
86546547,Accepted,"Feb 12, 2024, 6:34:44 PM"
125590605,Accepted,"Feb 15, 2024, 6:45:31 PM"
106117835,Accepted,"Mar 3, 2024, 10:07:45 AM"
59247116,Accepted,"Mar 29, 2024, 12:41:51 PM"
121177070,Accepted,"Aug 14, 2024, 2:39:19 AM"
30237817,Accepted,"Sep 30, 2024, 8:21:27 PM"
149852108,Accepted,"Oct 14, 2024, 12:51:36 PM"
23275968,Accepted,"Oct 16, 2024, 8:16:28 PM"
77759309,Accepted,"Oct 16, 2024, 9:21:43 PM"
32046664,Accepted,"Oct 30, 2024, 8:37:13 PM"
147850082,Accepted,"Nov 25, 2024, 8:45:27 PM"
38789631,Accepted,"Jan 5, 2025, 10:41:10 AM"
39751759,Accepted,"Jan 5, 2025, 10:49:42 AM"
155454187,Accepted,"Jan 6, 2025, 5:58:11 PM"
105044807,Accepted,"Jan 22, 2025, 9:54:22 PM"
161808813,Accepted,"Mar 17, 2025, 10:04:51 PM"
17410264,Accepted,"Mar 20, 2025, 6:54:48 PM"
110668359,Accepted,"Mar 20, 2025, 7:01:34 PM"
2888217,Accepted,"Mar 21, 2025, 1:40:45 PM"
162543405,Accepted,"Apr 5, 2025, 8:00:46 PM"
140612480,Accepted,"Apr 5, 2025, 8:40:32 PM"
158045786,Accepted,"Apr 5, 2025, 9:01:11 PM"
136107930,Accepted,"Apr 5, 2025, 9:07:05 PM"
138119400,Accepted,"Apr 5, 2025, 9:33:55 PM"
20201193,Accepted,"Apr 5, 2025, 10:24:15 PM"
122094669,Accepted,"Apr 6, 2025, 2:14:02 AM"
130080422,Accepted,"Apr 6, 2025, 9:22:18 AM"
15219089,Accepted,"Apr 6, 2025, 9:23:08 AM"
17576161,Accepted,"Apr 16, 2025, 7:33:06 PM"
43446089,Accepted,"Apr 17, 2025, 6:36:17 AM"
